A,W,k,ER,ER1,ER2,T,T',MT
300,25,0.2,0.08,0.8064,0.099206,1.1763,1.0418,2.2181
300,20,0.2,0.08,0.827,0.096735,1.3113,1.1841,2.4954
300,30,0.2,0.08,0.78776,0.10155,1.0769,0.93596,2.0129
300,35,0.2,0.08,0.77059,0.10382,0.99978,0.8531,1.8529
300,40,0.2,0.08,0.7546,0.10602,0.93773,0.78584,1.7236
100,25,0.2,0.08,0.66352,0.12057,0.6961,0.51799,1.2141
100,20,0.2,0.08,0.69905,0.11444,0.77322,0.60464,1.3779
100,30,0.2,0.08,0.63183,0.12662,0.63887,0.45355,1.0924
100,35,0.2,0.08,0.60281,0.13271,0.5947,0.40268,0.99739
100,40,0.2,0.08,0.57635,0.1388,0.55872,0.36168,0.9204
200,25,0.2,0.08,0.76247,0.10492,0.96718,0.81785,1.785
200,20,0.2,0.08,0.78776,0.10155,1.0769,0.93596,2.0129
200,30,0.2,0.08,0.73959,0.10817,0.88638,0.7298,1.6162
200,35,0.2,0.08,0.71858,0.11133,0.82367,0.66077,1.4844
200,40,0.2,0.08,0.69904,0.11444,0.77322,0.60462,1.3778
400,25,0.2,0.08,0.83253,0.096092,1.3533,1.2281,2.5814
400,20,0.2,0.08,0.85033,0.094081,1.5096,1.3909,2.9005
400,30,0.2,0.08,0.81642,0.097989,1.2382,1.1071,2.3453
400,35,0.2,0.08,0.80158,0.099803,1.1488,1.0126,2.1614
400,40,0.2,0.08,0.78775,0.10155,1.0769,0.93595,2.0129
500,25,0.2,0.08,0.85033,0.094081,1.5096,1.3909,2.9005
500,20,0.2,0.08,0.86622,0.092355,1.6846,1.5718,3.2565
500,30,0.2,0.08,0.83594,0.095701,1.3806,1.2566,2.6372
500,35,0.2,0.08,0.82269,0.097242,1.2805,1.1517,2.4322
500,40,0.2,0.08,0.81035,0.098723,1.1999,1.0667,2.2666
