A,W,k,ER,ER1,ER2,T,T',MT
300,25,0.02,0.08,0.8064,0.099206,0.11763,0.10418,0.22181
300,20,0.02,0.08,0.827,0.096735,0.13113,0.11841,0.24954
300,30,0.02,0.08,0.78776,0.10155,0.10769,0.093596,0.20129
300,35,0.02,0.08,0.77059,0.10382,0.099978,0.08531,0.18529
300,40,0.02,0.08,0.75461,0.10602,0.093772,0.078584,0.17236
100,25,0.02,0.08,0.66352,0.12057,0.06961,0.051798,0.12141
100,20,0.02,0.08,0.69905,0.11444,0.077322,0.060464,0.13779
100,30,0.02,0.08,0.63183,0.12662,0.063888,0.045355,0.10924
100,35,0.02,0.08,0.60281,0.13271,0.05947,0.040269,0.099739
100,40,0.02,0.08,0.57785,0.13844,0.055653,0.036385,0.092038
200,25,0.02,0.08,0.76247,0.10492,0.096718,0.081786,0.1785
200,20,0.02,0.08,0.78776,0.10155,0.10769,0.093596,0.20129
200,30,0.02,0.08,0.73959,0.10817,0.088638,0.07298,0.16162
200,35,0.02,0.08,0.71858,0.11133,0.082367,0.066077,0.14844
200,40,0.02,0.08,0.69905,0.11444,0.077322,0.060463,0.13778
400,25,0.02,0.08,0.83253,0.096092,0.13533,0.12281,0.25814
400,20,0.02,0.08,0.85033,0.094081,0.15096,0.13909,0.29005
400,30,0.02,0.08,0.81642,0.097989,0.12382,0.11071,0.23453
400,35,0.02,0.08,0.80158,0.099803,0.11488,0.10126,0.21614
400,40,0.02,0.08,0.78776,0.10155,0.10769,0.093595,0.20129
500,25,0.02,0.08,0.85033,0.094081,0.15096,0.13909,0.29005
500,20,0.02,0.08,0.86622,0.092355,0.16846,0.15719,0.32565
500,30,0.02,0.08,0.83594,0.095701,0.13806,0.12566,0.26372
500,35,0.02,0.08,0.82269,0.097242,0.12805,0.11517,0.24322
500,40,0.02,0.08,0.81035,0.098723,0.11999,0.10667,0.22666
