A,W,k,ER,ER1,ER2,T,T',MT
300,25,0.1,0.08,0.8064,0.099206,0.58817,0.5209,1.1091
300,20,0.1,0.08,0.827,0.096735,0.65566,0.59204,1.2477
300,30,0.1,0.08,0.78776,0.10155,0.53845,0.46798,1.0064
300,35,0.1,0.08,0.77059,0.10382,0.49989,0.42655,0.92644
300,40,0.1,0.08,0.7546,0.10602,0.46886,0.39292,0.86178
100,25,0.1,0.08,0.66352,0.12057,0.34805,0.25899,0.60704
100,20,0.1,0.08,0.69905,0.11444,0.38661,0.30232,0.68893
100,30,0.1,0.08,0.63183,0.12662,0.31944,0.22677,0.54621
100,35,0.1,0.08,0.60281,0.13271,0.29735,0.20134,0.49869
100,40,0.1,0.08,0.57635,0.1388,0.27936,0.18084,0.4602
200,25,0.1,0.08,0.76247,0.10492,0.48359,0.40893,0.89252
200,20,0.1,0.08,0.78775,0.10155,0.53845,0.46798,1.0064
200,30,0.1,0.08,0.73959,0.10817,0.44319,0.3649,0.80809
200,35,0.1,0.08,0.71858,0.11133,0.41184,0.33038,0.74222
200,40,0.1,0.08,0.69905,0.11444,0.38661,0.30231,0.68892
400,25,0.1,0.08,0.83253,0.096092,0.67665,0.61404,1.2907
400,20,0.1,0.08,0.85033,0.094081,0.7548,0.69544,1.4502
400,30,0.1,0.08,0.81642,0.097989,0.61908,0.55357,1.1726
400,35,0.1,0.08,0.80158,0.099803,0.57441,0.5063,1.0807
400,40,0.1,0.08,0.78775,0.10155,0.53846,0.46797,1.0064
500,25,0.1,0.08,0.85033,0.094081,0.75479,0.69544,1.4502
500,20,0.1,0.08,0.86622,0.092355,0.84232,0.78593,1.6282
500,30,0.1,0.08,0.83594,0.095701,0.69029,0.62829,1.3186
500,35,0.1,0.08,0.82269,0.097242,0.64024,0.57585,1.2161
500,40,0.1,0.08,0.81035,0.098723,0.59995,0.53336,1.1333
