300,25,0.02,0.08,0.82859,0.013653,0.84225
300,30,0.02,0.08,0.69441,0.0083617,0.70277
300,35,0.02,0.08,0.60024,0,0.60024
300,40,0.02,0.08,0.52521,0,0.52521
200,25,0.02,0.08,0.56023,0,0.56023
200,30,0.02,0.08,0.46685,0,0.46685
200,35,0.02,0.08,0.40016,0,0.40016
200,40,0.02,0.08,0.35014,0,0.35014
400,25,0.02,0.08,1.0656,0.050569,1.1162
400,30,0.02,0.08,0.92152,0.012677,0.9342
400,35,0.02,0.08,0.79346,0.0085874,0.80205
400,40,0.02,0.08,0.70028,0,0.70028
500,25,0.02,0.08,1.2563,0.11882,1.3751
500,30,0.02,0.08,1.1037,0.056752,1.1604
500,35,0.02,0.08,0.97758,0.022438,1
500,40,0.02,0.08,0.86406,0.012586,0.87664
