A,W,k,ER,ER1,ER2,T,T',MT
50,10,0.01,0.01,0.29829,0.033525,0.10401,0.03245,0.13646
50,10,0.01,0.02,0.35717,0.055995,0.092076,0.010839,0.10291
50,10,0.01,0.03,0.53576,0.055995,0.061924,0.020328,0.082252
50,10,0.01,0.04,0.67421,0.059329,0.042038,0.032765,0.074803
50,10,0.01,0.05,0.68171,0.073345,0.041014,0.032025,0.073039
50,10,0.01,0.075,0.69651,0.10768,0.039003,0.030499,0.069502
50,10,0.01,0.1,0.70822,0.1412,0.037425,0.029247,0.066672
50,10,0.01,0.25,0.75556,0.33088,0.031131,0.023742,0.054873
50,10,0.01,0.5,0.81187,0.61586,0.023801,0.01635,0.040151
50,10,0.02,0.01,0.29829,0.033525,0.20802,0.064901,0.27292
50,10,0.02,0.02,0.35717,0.055995,0.18415,0.021677,0.20583
50,10,0.02,0.03,0.53576,0.055995,0.12385,0.040656,0.1645
50,10,0.02,0.04,0.67421,0.059329,0.084075,0.065531,0.14961
50,10,0.02,0.05,0.68171,0.073345,0.082027,0.064051,0.14608
50,10,0.02,0.075,0.69651,0.10768,0.078007,0.060998,0.139
50,10,0.02,0.1,0.70822,0.1412,0.074849,0.058494,0.13334
50,10,0.02,0.25,0.75556,0.33088,0.062263,0.047484,0.10975
50,10,0.02,0.5,0.81187,0.61586,0.047603,0.032699,0.080302
50,10,0.03,0.01,0.29829,0.033525,0.31203,0.097351,0.40938
50,10,0.03,0.02,0.35717,0.055995,0.27623,0.032516,0.30874
50,10,0.03,0.03,0.53576,0.055995,0.18577,0.060984,0.24675
50,10,0.03,0.04,0.67421,0.059329,0.12611,0.098296,0.22441
50,10,0.03,0.05,0.68171,0.073345,0.12304,0.096076,0.21912
50,10,0.03,0.075,0.69651,0.10768,0.11701,0.091497,0.20851
50,10,0.03,0.1,0.70822,0.1412,0.11227,0.087742,0.20001
50,10,0.03,0.25,0.75556,0.33088,0.093394,0.071226,0.16462
50,10,0.03,0.5,0.81187,0.61586,0.071404,0.049049,0.12045
50,10,0.04,0.01,0.29829,0.033525,0.41604,0.1298,0.54585
50,10,0.04,0.02,0.35717,0.055995,0.36831,0.043354,0.41166
50,10,0.04,0.03,0.53576,0.055995,0.24769,0.081312,0.32901
50,10,0.04,0.04,0.67421,0.059329,0.16815,0.13106,0.29921
50,10,0.04,0.05,0.68171,0.073345,0.16405,0.1281,0.29216
50,10,0.04,0.075,0.69651,0.10768,0.15601,0.122,0.27801
50,10,0.04,0.1,0.70822,0.1412,0.1497,0.11699,0.26669
50,10,0.04,0.25,0.75556,0.33088,0.12452,0.094969,0.21949
50,10,0.04,0.5,0.81187,0.61586,0.095205,0.065398,0.1606
50,10,0.05,0.01,0.29829,0.033525,0.52006,0.16225,0.68231
50,10,0.05,0.02,0.35717,0.055995,0.46038,0.054193,0.51457
50,10,0.05,0.03,0.53576,0.055995,0.30962,0.10164,0.41126
50,10,0.05,0.04,0.67421,0.059329,0.21019,0.16383,0.37401
50,10,0.05,0.05,0.68171,0.073345,0.20507,0.16013,0.36519
50,10,0.05,0.075,0.69651,0.10768,0.19502,0.15249,0.34751
50,10,0.05,0.1,0.70822,0.1412,0.18712,0.14624,0.33336
50,10,0.05,0.25,0.75556,0.33088,0.15566,0.11871,0.27437
50,10,0.05,0.5,0.81187,0.61586,0.11901,0.081748,0.20075
50,10,0.075,0.01,0.29829,0.033525,0.78008,0.24338,1.0235
50,10,0.075,0.02,0.35717,0.055995,0.69057,0.081289,0.77186
50,10,0.075,0.03,0.53576,0.055995,0.46443,0.15246,0.61689
50,10,0.075,0.04,0.67421,0.059329,0.31528,0.24574,0.56102
50,10,0.075,0.05,0.68171,0.073345,0.3076,0.24019,0.54779
50,10,0.075,0.075,0.69651,0.10768,0.29252,0.22874,0.52127
50,10,0.075,0.1,0.70822,0.1412,0.28068,0.21935,0.50004
50,10,0.075,0.25,0.75556,0.33088,0.23348,0.17807,0.41155
50,10,0.075,0.5,0.81187,0.61586,0.17851,0.12262,0.30113
50,10,0.1,0.01,0.29829,0.033525,1.0401,0.3245,1.3646
50,10,0.1,0.02,0.35717,0.055995,0.92076,0.10839,1.0291
50,10,0.1,0.03,0.53576,0.055995,0.61924,0.20328,0.82252
50,10,0.1,0.04,0.67421,0.059329,0.42037,0.32765,0.74803
50,10,0.1,0.05,0.68171,0.073345,0.41013,0.32026,0.73039
50,10,0.1,0.075,0.69651,0.10768,0.39003,0.30499,0.69502
50,10,0.1,0.1,0.70822,0.1412,0.37425,0.29247,0.66672
50,10,0.1,0.25,0.75556,0.33088,0.31131,0.23742,0.54873
50,10,0.1,0.5,0.81187,0.61586,0.23801,0.1635,0.40151
50,10,0.2,0.01,0.29829,0.033525,2.0802,0.64901,2.7292
50,10,0.2,0.02,0.35717,0.055995,1.8415,0.21677,2.0583
50,10,0.2,0.03,0.53576,0.055995,1.2385,0.40656,1.645
